Timestamp,Dataset,Epochs,Learning Rate,Time (s),Metric,Mean,Std,Min,Max
2026-07-30 23:32:00,COVID19,500,0.0005,2148.43,Accuracy,0.9013,0.0088,0.8810,0.9119
2026-07-30 23:32:00,COVID19,500,0.0005,2148.43,Precision,0.9038,0.0100,0.8841,0.9175
2026-07-30 23:32:00,COVID19,500,0.0005,2148.43,Recall,0.8890,0.0217,0.8260,0.9052
2026-07-30 23:32:00,COVID19,500,0.0005,2148.43,F1-Score,0.8961,0.0106,0.8693,0.9077
2026-07-31 00:46:14,Liar,500,0.0005,4453.88,Accuracy,0.5988,0.0106,0.5807,0.6108
2026-07-31 00:46:14,Liar,500,0.0005,4453.88,Precision,0.5434,0.0131,0.5215,0.5580
2026-07-31 00:46:14,Liar,500,0.0005,4453.88,Recall,0.5937,0.0258,0.5707,0.6334
2026-07-31 00:46:14,Liar,500,0.0005,4453.88,F1-Score,0.5668,0.0051,0.5583,0.5749
